"2019/06/27","CSV-5e0f73b16a4cd","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190627-5e0f73b16a4cd.trans\n TransID: 0"
"2019/06/27","CSV-5e0f73b16a4cd","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190627-5e0f73b16a4cd.trans\n TransID: 1"
"2019/06/27","CSV-5e0f73b16bf9d","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190627-5e0f73b16bf9d.trans\n TransID: 0"
"2019/06/27","CSV-5e0f73b16bf9d","VD SHIPMONDOCOM","Udgifter:Direkte omkostninger u/moms","","38.25",""," Filename: vd_shipmondocom_20190627-5e0f73b16bf9d.trans\n TransID: 1"
"2019/07/03","CSV-5e0f73b166c5b","VD GOOGLE *GSUITE_monveli","Egenkapital:Mellemregning","","-236.45",""," Filename: vd_google_gsuite_monveli_20190703-5e0f73b166c5b.trans\n TransID: 0"
"2019/07/03","CSV-5e0f73b166c5b","VD GOOGLE *GSUITE_monveli","Udgifter:Administration:Edb","","236.45",""," Filename: vd_google_gsuite_monveli_20190703-5e0f73b166c5b.trans\n TransID: 1"
"2019/07/03","CSV-5e0f73b165118","VD QUICKPAY DKK","Egenkapital:Mellemregning","","-186.25",""," Filename: vd_quickpay_dkk_20190703-5e0f73b165118.trans\n TransID: 0"
"2019/07/03","CSV-5e0f73b165118","VD QUICKPAY DKK","Udgifter:Administration:Edb","","149",""," Filename: vd_quickpay_dkk_20190703-5e0f73b165118.trans\n TransID: 1"
"2019/07/03","CSV-5e0f73b165118","VD QUICKPAY DKK","Passiver:Moms:Købsmoms","","37.25",""," Filename: vd_quickpay_dkk_20190703-5e0f73b165118.trans\n TransID: virt"
"2019/07/04","CSV-5e0f73b15d6b4","CH2012369 2019-07-04","Egenkapital:Mellemregning","","231.79",""," Filename: ch2012369_20190704_20190704-5e0f73b15d6b4.trans\n TransID: 0"
"2019/07/04","CSV-5e0f73b15d6b4","CH2012369 2019-07-04","Indtægter:Onlinesalg","","-185.432",""," Filename: ch2012369_20190704_20190704-5e0f73b15d6b4.trans\n TransID: 1"
"2019/07/04","CSV-5e0f73b15d6b4","CH2012369 2019-07-04","Passiver:Moms:Salgsmoms","","-46.358",""," Filename: ch2012369_20190704_20190704-5e0f73b15d6b4.trans\n TransID: virt"
"2019/07/05","CSV-5e0f73b15bcac","VD SHIPMONDOCOM","Egenkapital:Mellemregning","","-38.25",""," Filename: vd_shipmondocom_20190705-5e0f73b15bcac.trans\n TransID: 0"
